group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdwgc,bdwgc 2 threads,,,,921288806.0,ns,1
bdwgc,bdwgc 2 threads,,,,907905466.0,ns,1
bdwgc,bdwgc 2 threads,,,,885361069.0,ns,1
bdwgc,bdwgc 2 threads,,,,895089825.0,ns,1
bdwgc,bdwgc 2 threads,,,,894255028.0,ns,1
bdwgc,bdwgc 2 threads,,,,885219070.0,ns,1
bdwgc,bdwgc 2 threads,,,,869741403.0,ns,1
bdwgc,bdwgc 2 threads,,,,904498710.0,ns,1
bdwgc,bdwgc 2 threads,,,,875451122.0,ns,1
bdwgc,bdwgc 2 threads,,,,906044103.0,ns,1
