group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bdwgc,bdwgc 2 threads,,,,1020185280.0,ns,1
bdwgc,bdwgc 2 threads,,,,967736241.0,ns,1
bdwgc,bdwgc 2 threads,,,,1021083493.0,ns,1
bdwgc,bdwgc 2 threads,,,,1166103423.0,ns,1
bdwgc,bdwgc 2 threads,,,,1165326918.0,ns,1
bdwgc,bdwgc 2 threads,,,,994513753.0,ns,1
bdwgc,bdwgc 2 threads,,,,1042110210.0,ns,1
bdwgc,bdwgc 2 threads,,,,1014370372.0,ns,1
bdwgc,bdwgc 2 threads,,,,1009186392.0,ns,1
bdwgc,bdwgc 2 threads,,,,1017533319.0,ns,1
