group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gc,bdw,1,,,695941521.0,ns,1
gc,bdw,1,,,690345552.0,ns,1
gc,bdw,1,,,688512462.0,ns,1
gc,bdw,1,,,683607890.0,ns,1
gc,bdw,1,,,694273230.0,ns,1
gc,bdw,1,,,706311863.0,ns,1
gc,bdw,1,,,717594500.0,ns,1
gc,bdw,1,,,691594445.0,ns,1
gc,bdw,1,,,703364780.0,ns,1
gc,bdw,1,,,725096758.0,ns,1
gc,bdw,1,,,693181606.0,ns,1
gc,bdw,1,,,728904292.0,ns,1
gc,bdw,1,,,717779784.0,ns,1
gc,bdw,1,,,724808889.0,ns,1
gc,bdw,1,,,689039360.0,ns,1
gc,bdw,1,,,732062396.0,ns,1
gc,bdw,1,,,690836474.0,ns,1
gc,bdw,1,,,720359266.0,ns,1
gc,bdw,1,,,691286936.0,ns,1
gc,bdw,1,,,733014992.0,ns,1
gc,bdw,1,,,705904251.0,ns,1
gc,bdw,1,,,723817849.0,ns,1
gc,bdw,1,,,710695478.0,ns,1
gc,bdw,1,,,740943607.0,ns,1
gc,bdw,1,,,706423503.0,ns,1
gc,bdw,1,,,742797896.0,ns,1
gc,bdw,1,,,697078056.0,ns,1
gc,bdw,1,,,732571454.0,ns,1
gc,bdw,1,,,703668818.0,ns,1
gc,bdw,1,,,733043152.0,ns,1
