group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gc,bdw,2,,,883666772.0,ns,1
gc,bdw,2,,,867611497.0,ns,1
gc,bdw,2,,,929521219.0,ns,1
gc,bdw,2,,,890285321.0,ns,1
gc,bdw,2,,,853309408.0,ns,1
gc,bdw,2,,,864409221.0,ns,1
gc,bdw,2,,,900356144.0,ns,1
gc,bdw,2,,,856748487.0,ns,1
gc,bdw,2,,,930691860.0,ns,1
gc,bdw,2,,,927537956.0,ns,1
gc,bdw,2,,,878524105.0,ns,1
gc,bdw,2,,,895737524.0,ns,1
gc,bdw,2,,,889459617.0,ns,1
gc,bdw,2,,,908911836.0,ns,1
gc,bdw,2,,,922626151.0,ns,1
gc,bdw,2,,,906806335.0,ns,1
gc,bdw,2,,,935527306.0,ns,1
gc,bdw,2,,,907848914.0,ns,1
gc,bdw,2,,,872932847.0,ns,1
gc,bdw,2,,,879019359.0,ns,1
gc,bdw,2,,,857046717.0,ns,1
gc,bdw,2,,,886146072.0,ns,1
gc,bdw,2,,,871522545.0,ns,1
gc,bdw,2,,,893454686.0,ns,1
gc,bdw,2,,,967759626.0,ns,1
gc,bdw,2,,,882507476.0,ns,1
gc,bdw,2,,,879167522.0,ns,1
gc,bdw,2,,,888503984.0,ns,1
gc,bdw,2,,,902306625.0,ns,1
gc,bdw,2,,,896142952.0,ns,1
