group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gc,immix,2,,,922640356.0,ns,1
gc,immix,2,,,972774059.0,ns,1
gc,immix,2,,,911831315.0,ns,1
gc,immix,2,,,906472104.0,ns,1
gc,immix,2,,,999163851.0,ns,1
gc,immix,2,,,945726627.0,ns,1
gc,immix,2,,,957768142.0,ns,1
gc,immix,2,,,997797760.0,ns,1
gc,immix,2,,,934106909.0,ns,1
gc,immix,2,,,913862452.0,ns,1
gc,immix,2,,,1000685234.0,ns,1
gc,immix,2,,,935285526.0,ns,1
gc,immix,2,,,926511235.0,ns,1
gc,immix,2,,,910671931.0,ns,1
gc,immix,2,,,974001685.0,ns,1
gc,immix,2,,,897840508.0,ns,1
gc,immix,2,,,909204245.0,ns,1
gc,immix,2,,,1011152078.0,ns,1
gc,immix,2,,,948422127.0,ns,1
gc,immix,2,,,909799688.0,ns,1
gc,immix,2,,,982683137.0,ns,1
gc,immix,2,,,921919136.0,ns,1
gc,immix,2,,,941611007.0,ns,1
gc,immix,2,,,976382079.0,ns,1
gc,immix,2,,,931773972.0,ns,1
gc,immix,2,,,905019647.0,ns,1
gc,immix,2,,,974596190.0,ns,1
gc,immix,2,,,891696036.0,ns,1
gc,immix,2,,,898709186.0,ns,1
gc,immix,2,,,905586325.0,ns,1
